file,image_url,image_src,dest,action,note
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/index.md,fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/fad-log-settings.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/index.md,fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-log-settings.png,shortcode-ok,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-real-server.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-appserver1.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-appserver2.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-real-servers.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-server.png,shortcode-ok,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver1.png,shortcode-ok,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver2.png,shortcode-ok,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-servers.png,shortcode-ok,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs-basic.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs-basic.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs-basic.png,dry-run,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs-general.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs-general.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs-general.png,dry-run,leaf
