file,image_url,image_src,dest,action,note
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/index.md,fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-log-settings.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/fad-log-settings.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task6/index.md,fad-log-settings.png,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-server.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-real-server.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver1.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-appserver1.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-appserver2.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-appserver2.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-real-servers.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/fad-real-servers.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-server.png,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver1.png,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-appserver2.png,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/3_Task2/index.md,fad-real-servers.png,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs-basic.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs-basic.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs-basic.png,moved,leaf
/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/index.md,fad-vs-general.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/fad-vs-general.png,/home/ubuntu/pythonProjects/AppSec103-203-FortiADC/content/02Initial Configuration/Task4/fad-vs-general.png,moved,leaf
